,0,1,2
0,U+1F600,grinning face,"['face', 'grin', 'person']"
1,U+1F601,grinning face with smiling eyes,"['eye', 'face', 'grin', 'person', 'smile']"
2,U+1F602,face with tears of joy,"['face', 'joy', 'person', 'tear']"
3,U+1F603,smiling face with open mouth,"['face', 'mouth', 'open', 'person', 'smile']"
4,U+1F604,smiling face with open mouth and smiling eyes,"['eye', 'face', 'mouth', 'open', 'person', 'smile']"
5,U+1F605,smiling face with open mouth and cold sweat,"['cold', 'face', 'open', 'person', 'smile', 'sweat']"
6,U+1F606,smiling face with open mouth and tightly-closed eyes,"['face', 'laugh', 'mouth', 'open', 'person', 'satisfied', 'smile']"
7,U+1F609,winking face,"['face', 'person', 'wink']"
8,U+1F60A,smiling face with smiling eyes,"['blush', 'eye', 'face', 'person', 'smile']"
9,U+1F60B,face savouring delicious food,"['delicious', 'face', 'food', 'person', 'savouring', 'smile', 'um', 'yum']"
10,U+1F60E,smiling face with sunglasses,"['bright', 'cool', 'eye', 'eyewear', 'face', 'glasses', 'person', 'smile', 'sun', 'sunglasses', 'weather']"
11,U+1F60D,smiling face with heart-shaped eyes,"['eye', 'face', 'heart', 'love', 'person', 'smile']"
12,U+1F618,face throwing a kiss,"['face', 'heart', 'kiss', 'person']"
13,U+1F617,kissing face,"['face', 'kiss', 'person']"
14,U+1F619,kissing face with smiling eyes,"['eye', 'face', 'kiss', 'person', 'smile']"
15,U+1F61A,kissing face with closed eyes,"['closed', 'eye', 'face', 'kiss', 'person']"
16,U+263A,white smiling face,"['face', 'outlined', 'person', 'relaxed', 'smile']"
17,U+1F642,slightly smiling face,"['face', 'person', 'smile']"
18,U+1F917,hugging face,"['face', 'hug', 'hugging', 'person']"
19,U+1F607,smiling face with halo,"['angel', 'face', 'fairy tale', 'fantasy', 'halo', 'innocent', 'person', 'smile']"
20,U+1F914,thinking face,"['face', 'person', 'thinking']"
21,U+1F610,neutral face,"['deadpan', 'face', 'neutral', 'person']"
22,U+1F611,expressionless face,"['expressionless', 'face', 'inexpressive', 'person', 'unexpressive']"
23,U+1F636,face without mouth,"['face', 'mouth', 'person', 'quiet', 'silent']"
24,U+1F644,face with rolling eyes,"['eyes', 'face', 'person', 'rolling']"
25,U+1F60F,smirking face,"['face', 'person', 'smirk']"
26,U+1F623,persevering face,"['face', 'persevere', 'person']"
27,U+1F625,disappointed but relieved face,"['disappointed', 'face', 'person', 'relieved', 'whew']"
28,U+1F62E,face with open mouth,"['face', 'mouth', 'open', 'person', 'sympathy']"
29,U+1F910,zipper-mouth face,"['face', 'mouth', 'person', 'zipper']"
30,U+1F62F,hushed face,"['face', 'hushed', 'person', 'stunned', 'surprised']"
31,U+1F62A,sleepy face,"['face', 'person', 'sleep']"
32,U+1F62B,tired face,"['face', 'person', 'tired']"
33,U+1F634,sleeping face,"['face', 'person', 'sleep', 'zzz']"
34,U+1F60C,relieved face,"['face', 'person', 'relieved']"
35,U+1F913,nerd face,"['face', 'geek', 'nerd', 'person']"
36,U+1F61B,face with stuck-out tongue,"['face', 'person', 'tongue']"
37,U+1F61C,face with stuck-out tongue and winking eye,"['eye', 'face', 'joke', 'person', 'tongue', 'wink']"
38,U+1F61D,face with stuck-out tongue and tightly-closed eyes,"['eye', 'face', 'horrible', 'person', 'taste', 'tongue']"
39,U+2639,white frowning face,"['face', 'frown', 'person']"
40,U+1F641,slightly frowning face,"['face', 'frown', 'person']"
41,U+1F612,unamused face,"['face', 'person', 'unamused', 'unhappy']"
42,U+1F613,face with cold sweat,"['cold', 'face', 'person', 'sweat']"
43,U+1F614,pensive face,"['dejected', 'face', 'pensive', 'person']"
44,U+1F615,confused face,"['confused', 'face', 'person']"
45,U+1F616,confounded face,"['confounded', 'face', 'person']"
46,U+1F643,upside-down face,"['face', 'person', 'upside-down']"
47,U+1F637,face with medical mask,"['cold', 'doctor', 'face', 'mask', 'medicine', 'person', 'sick']"
48,U+1F912,face with thermometer,"['face', 'ill', 'person', 'sick', 'thermometer']"
49,U+1F915,face with head-bandage,"['bandage', 'face', 'hurt', 'injury', 'person']"
50,U+1F911,money-mouth face,"['face', 'money', 'mouth', 'person']"
51,U+1F632,astonished face,"['astonished', 'face', 'person', 'shocked', 'totally']"
52,U+1F61E,disappointed face,"['disappointed', 'face', 'person']"
53,U+1F61F,worried face,"['face', 'person', 'worried']"
54,U+1F624,face with look of triumph,"['face', 'person', 'triumph', 'won']"
55,U+1F622,crying face,"['cry', 'face', 'person', 'sad', 'tear']"
56,U+1F62D,loudly crying face,"['cry', 'face', 'person', 'sad', 'sob', 'tear']"
57,U+1F626,frowning face with open mouth,"['face', 'frown', 'mouth', 'open', 'person']"
58,U+1F627,anguished face,"['anguished', 'face', 'person']"
59,U+1F628,fearful face,"['face', 'fear', 'fearful', 'person', 'scared']"
