,annotations,byteCode,descriptions
0,"['face', 'grin', 'person']",\U0001F600,grinning face
1,"['eye', 'face', 'grin', 'person', 'smile']",\U0001F601,grinning face with smiling eyes
2,"['face', 'joy', 'person', 'tear']",\U0001F602,face with tears of joy
3,"['face', 'mouth', 'open', 'person', 'smile']",\U0001F603,smiling face with open mouth
4,"['eye', 'face', 'mouth', 'open', 'person', 'smile']",\U0001F604,smiling face with open mouth and smiling eyes
5,"['cold', 'face', 'open', 'person', 'smile', 'sweat']",\U0001F605,smiling face with open mouth and cold sweat
6,"['face', 'laugh', 'mouth', 'open', 'person', 'satisfied', 'smile']",\U0001F606,smiling face with open mouth and tightly-closed eyes
7,"['face', 'person', 'wink']",\U0001F609,winking face
8,"['blush', 'eye', 'face', 'person', 'smile']",\U0001F60A,smiling face with smiling eyes
9,"['delicious', 'face', 'food', 'person', 'savouring', 'smile', 'um', 'yum']",\U0001F60B,face savouring delicious food
10,"['bright', 'cool', 'eye', 'eyewear', 'face', 'glasses', 'person', 'smile', 'sun', 'sunglasses', 'weather']",\U0001F60E,smiling face with sunglasses
11,"['eye', 'face', 'heart', 'love', 'person', 'smile']",\U0001F60D,smiling face with heart-shaped eyes
12,"['face', 'heart', 'kiss', 'person']",\U0001F618,face throwing a kiss
13,"['face', 'kiss', 'person']",\U0001F617,kissing face
14,"['eye', 'face', 'kiss', 'person', 'smile']",\U0001F619,kissing face with smiling eyes
15,"['closed', 'eye', 'face', 'kiss', 'person']",\U0001F61A,kissing face with closed eyes
16,"['face', 'outlined', 'person', 'relaxed', 'smile']",\U0000263A,white smiling face
17,"['face', 'person', 'smile']",\U0001F642,slightly smiling face
18,"['face', 'hug', 'hugging', 'person']",\U0001F917,hugging face
19,"['angel', 'face', 'fairy tale', 'fantasy', 'halo', 'innocent', 'person', 'smile']",\U0001F607,smiling face with halo
20,"['face', 'person', 'thinking']",\U0001F914,thinking face
21,"['deadpan', 'face', 'neutral', 'person']",\U0001F610,neutral face
22,"['expressionless', 'face', 'inexpressive', 'person', 'unexpressive']",\U0001F611,expressionless face
23,"['face', 'mouth', 'person', 'quiet', 'silent']",\U0001F636,face without mouth
24,"['eyes', 'face', 'person', 'rolling']",\U0001F644,face with rolling eyes
25,"['face', 'person', 'smirk']",\U0001F60F,smirking face
26,"['face', 'persevere', 'person']",\U0001F623,persevering face
27,"['disappointed', 'face', 'person', 'relieved', 'whew']",\U0001F625,disappointed but relieved face
28,"['face', 'mouth', 'open', 'person', 'sympathy']",\U0001F62E,face with open mouth
29,"['face', 'mouth', 'person', 'zipper']",\U0001F910,zipper-mouth face
30,"['face', 'hushed', 'person', 'stunned', 'surprised']",\U0001F62F,hushed face
31,"['face', 'person', 'sleep']",\U0001F62A,sleepy face
32,"['face', 'person', 'tired']",\U0001F62B,tired face
33,"['face', 'person', 'sleep', 'zzz']",\U0001F634,sleeping face
34,"['face', 'person', 'relieved']",\U0001F60C,relieved face
35,"['face', 'geek', 'nerd', 'person']",\U0001F913,nerd face
36,"['face', 'person', 'tongue']",\U0001F61B,face with stuck-out tongue
37,"['eye', 'face', 'joke', 'person', 'tongue', 'wink']",\U0001F61C,face with stuck-out tongue and winking eye
38,"['eye', 'face', 'horrible', 'person', 'taste', 'tongue']",\U0001F61D,face with stuck-out tongue and tightly-closed eyes
39,"['face', 'frown', 'person']",\U00002639,white frowning face
40,"['face', 'frown', 'person']",\U0001F641,slightly frowning face
41,"['face', 'person', 'unamused', 'unhappy']",\U0001F612,unamused face
42,"['cold', 'face', 'person', 'sweat']",\U0001F613,face with cold sweat
43,"['dejected', 'face', 'pensive', 'person']",\U0001F614,pensive face
44,"['confused', 'face', 'person']",\U0001F615,confused face
45,"['confounded', 'face', 'person']",\U0001F616,confounded face
46,"['face', 'person', 'upside-down']",\U0001F643,upside-down face
47,"['cold', 'doctor', 'face', 'mask', 'medicine', 'person', 'sick']",\U0001F637,face with medical mask
48,"['face', 'ill', 'person', 'sick', 'thermometer']",\U0001F912,face with thermometer
49,"['bandage', 'face', 'hurt', 'injury', 'person']",\U0001F915,face with head-bandage
50,"['face', 'money', 'mouth', 'person']",\U0001F911,money-mouth face
51,"['astonished', 'face', 'person', 'shocked', 'totally']",\U0001F632,astonished face
52,"['disappointed', 'face', 'person']",\U0001F61E,disappointed face
53,"['face', 'person', 'worried']",\U0001F61F,worried face
54,"['face', 'person', 'triumph', 'won']",\U0001F624,face with look of triumph
55,"['cry', 'face', 'person', 'sad', 'tear']",\U0001F622,crying face
56,"['cry', 'face', 'person', 'sad', 'sob', 'tear']",\U0001F62D,loudly crying face
57,"['face', 'frown', 'mouth', 'open', 'person']",\U0001F626,frowning face with open mouth
58,"['anguished', 'face', 'person']",\U0001F627,anguished face
59,"['face', 'fear', 'fearful', 'person', 'scared']",\U0001F628,fearful face
60,"['face', 'person', 'tired', 'weary']",\U0001F629,weary face
61,"['face', 'grimace', 'person']",\U0001F62C,grimacing face
62,"['blue', 'cold', 'face', 'mouth', 'open', 'person', 'rushed', 'sweat']",\U0001F630,face with open mouth and cold sweat
63,"['face', 'fear', 'fearful', 'munch', 'person', 'scared', 'scream']",\U0001F631,face screaming in fear
64,"['dazed', 'face', 'flushed', 'person']",\U0001F633,flushed face
65,"['dizzy', 'face', 'person']",\U0001F635,dizzy face
66,"['angry', 'face', 'mad', 'person', 'pouting', 'rage', 'red']",\U0001F621,pouting face
67,"['angry', 'face', 'mad', 'person']",\U0001F620,angry face
68,"['face', 'fairy tale', 'fantasy', 'horns', 'person', 'smile']",\U0001F608,smiling face with horns
69,"['devil', 'face', 'fairy tale', 'fantasy', 'imp', 'person']",\U0001F47F,imp
70,"['creature', 'face', 'fairy tale', 'fantasy', 'japanese', 'monster', 'ogre', 'person']",\U0001F479,japanese ogre
71,"['creature', 'face', 'fairy tale', 'fantasy', 'goblin', 'japanese', 'monster', 'person']",\U0001F47A,japanese goblin
72,"['body', 'death', 'face', 'fairy tale', 'monster', 'person', 'skull']",\U0001F480,skull
73,"['body', 'crossbones', 'death', 'face', 'monster', 'person', 'skull']",\U00002620,skull and crossbones
74,"['creature', 'face', 'fairy tale', 'fantasy', 'ghost', 'monster', 'person']",\U0001F47B,ghost
75,"['alien', 'creature', 'extraterrestrial', 'face', 'fairy tale', 'fantasy', 'monster', 'nature', 'person', 'space', 'ufo']",\U0001F47D,extraterrestrial alien
76,"['alien', 'creature', 'extraterrestrial', 'face', 'fairy tale', 'fantasy', 'monster', 'nature', 'person', 'space', 'ufo']",\U0001F47E,alien monster
77,"['face', 'monster', 'person', 'robot']",\U0001F916,robot face
78,"['comic', 'dung', 'face', 'monster', 'nature', 'object', 'poo', 'poop']",\U0001F4A9,pile of poo
79,"['animal', 'cat', 'face', 'mouth', 'nature', 'open', 'smile']",\U0001F63A,smiling cat face with open mouth
80,"['animal', 'cat', 'eye', 'face', 'grin', 'nature', 'smile']",\U0001F638,grinning cat face with smiling eyes
81,"['animal', 'cat', 'face', 'joy', 'nature', 'tear']",\U0001F639,cat face with tears of joy
82,"['animal', 'cat', 'eye', 'face', 'heart', 'love', 'nature', 'smile']",\U0001F63B,smiling cat face with heart-shaped eyes
83,"['animal', 'cat', 'face', 'ironic', 'nature', 'smile', 'wry']",\U0001F63C,cat face with wry smile
84,"['animal', 'cat', 'eye', 'face', 'kiss', 'nature']",\U0001F63D,kissing cat face with closed eyes
85,"['animal', 'cat', 'face', 'nature', 'oh', 'surprised', 'weary']",\U0001F640,weary cat face
86,"['animal', 'cat', 'cry', 'face', 'nature', 'sad', 'tear']",\U0001F63F,crying cat face
87,"['animal', 'cat', 'face', 'nature', 'pouting']",\U0001F63E,pouting cat face
88,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'monkey', 'nature', 'no', 'not', 'prohibited', 'see']",\U0001F648,see-no-evil monkey
89,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'hear', 'monkey', 'nature', 'no', 'not', 'prohibited']",\U0001F649,hear-no-evil monkey
90,"['animal', 'evil', 'face', 'forbidden', 'gesture', 'monkey', 'nature', 'no', 'not', 'prohibited', 'speak']",\U0001F64A,speak-no-evil monkey
91,"['boy', 'person']",\U0001F466,boy
92,"['girl', 'maiden', 'person', 'virgin', 'virgo', 'zodiac']",\U0001F467,girl
93,"['man', 'person']",\U0001F468,man
94,"['person', 'woman']",\U0001F469,woman
95,"['man', 'old', 'person']",\U0001F474,older man
96,"['old', 'person', 'woman']",\U0001F475,older woman
97,"['baby', 'person']",\U0001F476,baby
98,"['blond', 'person']",\U0001F471,person with blond hair
99,"['cop', 'officer', 'person', 'police']",\U0001F46E,police officer
100,"['gua pi mao', 'hat', 'man', 'person']",\U0001F472,man with gua pi mao
101,"['man', 'person', 'turban']",\U0001F473,man with turban
102,"['construction', 'hat', 'person', 'worker']",\U0001F477,construction worker
103,"['aid', 'cross', 'face', 'hat', 'helmet', 'person']",\U000026D1,helmet with white cross
104,"['fairy tale', 'fantasy', 'person', 'princess']",\U0001F478,princess
105,"['guard', 'guardsman', 'person']",\U0001F482,guardsman
106,"['person', 'sleuth', 'spy']",\U0001F575,sleuth or spy
107,"['activity', 'celebration', 'christmas', 'fairy tale', 'fantasy', 'father', 'person', 'santa']",\U0001F385,father christmas
108,"['angel', 'baby', 'face', 'fairy tale', 'fantasy', 'person']",\U0001F47C,baby angel
109,"['bunny', 'dancer', 'ear', 'girl', 'person', 'woman']",\U0001F46F,woman with bunny ears
110,"['massage', 'person', 'salon']",\U0001F486,face massage
